Well_ID,X,Y,TVD,CompLength,FracStage,TotalPropPlaced,qi,b,D,CumProd
103,97.1453560606079,-199.360704545441,3281.4,1938,28,6288.30001831055,2356.42117557625,1.57702750909446,0.321376809293258,59947.146980759
104,94.713356060609,-204.003704545443,3286.9,2051,30,5472.36003112793,1767.75950194908,2,0.319213679722487,59411.4479862998
105,94.3533560606085,-203.872704545446,3297.4,2502.0498046875,36,6809.19999694824,2510.98913350338,1.00612357715032,0.090349179840964,90914.9194341856
106,95.2443560606113,-200.937704545453,3294,2387.009765625,35,6520.35000610352,2664.97173966024,1.2204565254662,0.394559427459725,40819.9389264072
107,96.4263560606113,-198.623704545454,3288.1,2405.14013671875,34,6420,2575.18000203306,1.33693190203925,0.502902349930807,38304.2544343022
108,97.6203560606095,-196.070704545448,3289,2401.5498046875,34,6456.08999633789,1947.59002117775,1.99999999999064,0.916200831968716,38852.5058634867
109,99.987356060609,-191.495704545446,3281.3,2400.52001953125,34,6428.80999755859,2253.16984946057,1.9521324951568,0.662802949570753,51741.496360124
110,101.040356060608,-189.036704545444,3283.1,2434.93994140625,36,6684.8699798584,2318.74303366764,1.99999999999976,0.806407107235186,50095.8880501035
111,98.79935606061,-193.883704545442,3285.9,2399.35986328125,35,6502.69000244141,2090.71727140973,1.71746669395811,0.526320902411824,44598.299379932
112,101.67835606061,-190.040704545453,3270.6,2001,29,5555.78997039795,1615.92063807818,1.99999999998734,0.190110256073116,69096.6923836754
113,102.206356060613,-186.595704545454,3277.9,2459.8798828125,36,6652.4100189209,2462.72968297305,1.1,0.224,49577.5796838712
114,111.153356060612,-175.344704545452,3250.1,2829,42,7544.98001098633,2647.14340495754,1.00725599724289,0.277421209958517,39815.0252949659
115,109.671356060609,-177.379704545444,3256.4,2870,57,7693.67997741699,2946.87377521477,1.99999999927619,0.176764243239028,133291.208754481
116,120.94235606061,-258.709704545453,3299.2,2182.56005859375,26,5221.19999694824,2010.41515949702,1.13788993679776,0.221121885910114,42088.7716056505
117,119.741356060608,-261.135704545453,3299.1,2198.580078125,26,5398.40998840332,1843.41054361919,1.42488529856792,0.480546682222574,30471.880460532
118,128.757356060611,-245.814704545452,3280.7,2056,30,5963.20999145508,2300,1.54384033699719,0.256001206693206,65108.0478750261
119,131.313356060609,-241.317704545452,3280.2,2189.77001953125,32,6541.88998413086,1955.39844868475,1.92760169227593,0.571927580468199,47079.5681435549
120,133.923356060613,-236.721704545445,3272.3,2110,31,6428.5299987793,1800,1.99999999955054,0.15933132028279,83899.5106436938
121,66.1673560606104,-415.570704545445,3456.3,1978.5,22,3202.99999237061,1292.04436233424,1.99999999999057,0.509804703104784,33511.3123644944
122,95.7183560606083,-382.413704545442,3436.5,3119.669921875,63,8508.2200012207,3594.88648425655,1.12160801043554,0.205201277945944,81026.1098436582
123,130.573356060609,-448.910704545455,3442.7,2292.89990234375,33,5874.36999511719,1150.21593890354,1.99999999990244,0.371113480554988,34666.931498946
124,148.757356060614,282.982295454559,2856,1664,17,2509.73999786377,847.57852385531,1.72734602173602,0.355260784298536,20631.2515827957
125,189.191356060611,304.473295454557,2822.2,1779.5,19,2720.49999237061,626.591187944931,2,0.533370060032545,14022.3108624607
126,165.591356060609,28.3522954545532,3055.8,1901.7998046875,15,1871.58996582031,597.823722386694,1.59211637832129,0.286846225932045,13775.4296133068
127,193.434356060614,5.23829545454646,3032.2,1340.5,17,2465,540.211952322343,1.99999999981577,0.327995126048736,15418.7350628003
128,167.280356060608,-134.791704545449,3117.1,2067.9501953125,11,1350,471.270539873041,1.40374347210813,0.344417447557343,6886.04953645525
129,172.823356060611,-130.232704545449,3121.3,1342.4501953125,7,576.800000071526,650.933113902352,1.49880843382736,0.762607039090267,6218.96448399909
130,201.498356060611,-173.813704545452,3183.7,2496.25,32,3840,676.288491478994,1.18200887806558,0.230503680460995,12049.1337223534
131,149.436356060612,-221.600704545452,3259.6,1550,16,2368.10000610352,1359.79670107971,1.4749240606957,0.64575973746057,18505.2489451367
132,136.040356060612,-377.104704545445,3343.3,2189.75,31,5865.36999511719,1164.95636977717,1.10000519883254,0.313777180321884,16071.6208364341
