X,Y,Z,density,resistivity,Ore_log
681.8125,3136.359,279.1837,-0.04678772,2.936671,0
272.7344,3318.188,279.1837,-0.1716473,2.04942,0
1090.906,3363.641,279.1837,0.05669851,2.211567,0
1545.453,3363.641,279.1837,0.07649864,2.396823,0
1954.547,3363.641,279.1837,-0.07101916,2.453943,0
2681.813,3363.641,279.1837,0.02708443,2.840691,0
4000,3636.359,279.1837,0.0561561,2.125178,0
1318.188,3681.813,279.1837,0.08243354,2.24515,0
3000,3727.266,279.1837,0.09417094,2.033215,0
2318.188,3818.188,279.1837,-0.2126411,2.907535,0
500,4090.906,279.1837,-0.2770454,2.333261,0
3272.734,4090.906,279.1837,0.2519368,2.293733,0
3954.547,4136.359,279.1837,0.2170289,2.215405,0
3500,4272.734,279.1837,0.2825542,2.295272,0
2409.094,227.2656,271.4286,0.00016381,2.485038,0
2272.734,409.0938,271.4286,-0.01305178,2.285117,0
3181.813,409.0938,271.4286,-0.01544677,1.975395,0
590.9063,954.5469,271.4286,-0.1252524,2.18636,0
2636.359,1363.641,271.4286,-0.09078835,2.347989,0
3090.906,1863.641,271.4286,-0.279191,2.284353,0
1590.906,2045.453,271.4286,0.07372637,2.366611,0
772.7344,2090.906,271.4286,-0.2388555,2.487056,0
2045.453,2363.641,271.4286,-0.07666893,2.396862,0
818.1875,2409.094,271.4286,-0.1504527,2.165532,0
