MgO,Al2O3,SiO2,P2O5,S,Cl,K2O,CaO,TiO2,V,MnO,Fe2O3,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Mo,Ag,Sn,Ba,W,Hg,Pb,Classification
4.33345,0.495,0,0.81705,0,0.06145,0.0656,68.62805,0.1294,0,0.1363,0.7679,0.00625,0.00375,0.00125,0,0.0015,0.0084,0.0019,0.0066,0,0,0,0,0,0,0,limestone
2.808266667,0.067533333,0,0.5304,0,0.044533333,0.046433333,68.40496667,0.146733333,0.0143,0.133666667,0.6229,0.005733333,0.013333333,0,0.000666667,0.001133333,0.011233333,0.001666667,0.009,0,0.0084,0,0,0,0,0,limestone
1.7865,0.069266667,0,0.553466667,0,0.073166667,0,70.99906667,0.0752,0,0.098866667,0.575166667,0.0064,0.008033333,0,0,0.000966667,0.009,0.000633333,0.007233333,0,0.016166667,0,0,0,0,0.0006,limestone
0.843733333,1.456966667,2.435866667,0.577066667,0,0.086933333,0,59.95696667,0.257833333,0.047333333,0.059066667,1.1184,0.005366667,0,0,0.0108,0,0.011633333,0.0005,0.0073,0,0,0,0,0,0,0,limestone
0,0,0,0.444233333,0,0.1055,0,63.46603333,0.053866667,0,0.0412,0.341633333,0.004666667,0.001566667,0,0,0,0.008066667,0,0.0027,0,0,0,0,0,0,0,limestone
3.120533333,0.646166667,7.304166667,0.376,0,0.0655,0.0118,60.9347,0.068466667,0,0.2768,3.9909,0.005433333,0.0021,0.003533333,0,0,0.005933333,0,0.003266667,0.001266667,0,0.033033333,0.0241,0,0,0,limestone
0,0,22.7547,0.437333333,0,0.088,0.0291,58.44533333,0.049666667,0,0.5021,0.6803,0.0013,0.003666667,0,0,0,0.005766667,0.000433333,0.003566667,0,0,0,0,0,0,0.002666667,altered limestone
0,0,0,0.7268,0,0.143766667,0,72.36383333,0.048033333,0.003033333,0.0683,0.430133333,0.006333333,0,0,0,0.001033333,0.005033333,0,0.004,0,0.015633333,0.007766667,0,0,0,0,limestone
0,0,0,0.494366667,0,0.217866667,0,65.7685,0.0401,0,0.0355,0.5198,0.0064,0.002533333,0,0,0,0.0101,0,0.003366667,0,0,0,0,0,0,0.0006,limestone
1.8975,6.009833333,21.99843333,0.414066667,0.010466667,0.028833333,0.131366667,50.2161,0.575766667,0.0029,0.166166667,2.268566667,0.004433333,0,0.002233333,0.047833333,0.003233333,0.0042,0.000866667,0.0141,0.000933333,0.004666667,0,0,0,0,0,limestone
